sample,budget,resource,marginal_benefit_pp,optimal_allocation,allocation_share_pct,alpha,policy_cap
baseline_5,0.08,Cobalt,0.005582745986590835,3.071117144787258e-08,3.0711171447872583e-06,0.65,0.4
baseline_5,0.08,Graphite,0.6688132398066777,0.026652928616751555,2.6652928616751557,0.65,0.4
baseline_5,0.08,Rare earths,0.8477545602245397,0.052472460571533146,5.247246057153315,0.65,0.4
baseline_5,0.08,Copper,0.20131408792562575,0.0008628651988021782,0.08628651988021782,0.65,0.4
baseline_5,0.1,Lithium,0.042043765132224464,1.2288610425710538e-05,0.0012288610425710538,0.65,0.4
baseline_5,0.1,Nickel,0.023581614193148057,2.3550167513952474e-06,0.00023550167513952474,0.65,0.4
baseline_5,0.1,Cobalt,0.005582745986590835,3.8388964309840724e-08,3.8388964309840725e-06,0.65,0.4
baseline_5,0.1,Graphite,0.6688132398066777,0.03331616077093945,3.331616077093945,0.65,0.4
baseline_5,0.1,Rare earths,0.8477545602245397,0.0655905757144164,6.55905757144164,0.65,0.4
baseline_5,0.1,Copper,0.20131408792562575,0.0010785814985027225,0.10785814985027226,0.65,0.4
baseline_5,0.12,Lithium,0.042043765132224464,1.4746332510852646e-05,0.0014746332510852645,0.65,0.4
baseline_5,0.12,Nickel,0.023581614193148057,2.8260201016742985e-06,0.00028260201016742985,0.65,0.4
baseline_5,0.12,Cobalt,0.005582745986590835,4.6066757171808884e-08,4.606675717180888e-06,0.65,0.4
baseline_5,0.12,Graphite,0.6688132398066777,0.039979392925127324,3.9979392925127324,0.65,0.4
baseline_5,0.12,Rare earths,0.8477545602245397,0.07870869085729969,7.870869085729969,0.65,0.4
baseline_5,0.12,Copper,0.20131408792562575,0.0012942977982032674,0.12942977982032675,0.65,0.4
baseline_5,0.14,Lithium,0.042043765132224464,1.7204054595994755e-05,0.0017204054595994754,0.65,0.4
baseline_5,0.14,Nickel,0.023581614193148057,3.297023451953348e-06,0.0003297023451953348,0.65,0.4
baseline_5,0.14,Cobalt,0.005582745986590835,5.3744550033777045e-08,5.374455003377704e-06,0.65,0.4
baseline_5,0.14,Graphite,0.6688132398066777,0.04664262507931523,4.6642625079315225,0.65,0.4
baseline_5,0.14,Rare earths,0.8477545602245397,0.09182680600018299,9.1826806000183,0.65,0.4
