seed,economy,resource,resource_channel_loss_pct,contribution_share
2099,Italy,Rare earths,7.2415441835057655,0.2623301717733016
2099,Italy,Copper,3.807069071546692,0.13791382862324453
2099,Netherlands,Lithium,3.9815858266993964,0.14197307229338763
2099,Netherlands,Nickel,2.8547015676372265,0.10179128861682221
2099,Netherlands,Cobalt,1.8954213195327414,0.0675858313087085
2099,Netherlands,Graphite,8.008942008794424,0.28557819730604683
2099,Netherlands,Rare earths,7.34930667304216,0.26205730405240013
2099,Netherlands,Copper,3.954697568662518,0.14101430642263468
2099,Spain,Lithium,3.7979515524723473,0.14262960419397597
2099,Spain,Nickel,2.6741691453392344,0.10042668566932834
2099,Spain,Cobalt,1.737574079730813,0.06525346619768983
2099,Spain,Graphite,7.714058626266267,0.2896964622619405
2099,Spain,Rare earths,7.031840211261323,0.2640761927135692
2099,Spain,Copper,3.672479665615426,0.1379175889634962
2100,France,Lithium,2.7470428934449616,0.13153414150645365
2100,France,Nickel,1.869392553944136,0.08951041329144986
2100,France,Cobalt,2.1347094470760726,0.10221433933808842
2100,France,Graphite,6.033235755429814,0.2888839076703702
2100,France,Rare earths,5.274432352876802,0.2525508186002464
2100,France,Copper,2.8258247192920276,0.1353063795933914
2100,Germany,Lithium,3.707159759693556,0.13154556855475408
2100,Germany,Nickel,2.4716009833182384,0.08770276375085678
2100,Germany,Cobalt,2.820952811087088,0.10009923107043478
2100,Germany,Graphite,8.17715593003907,0.2901597707423287
2100,Germany,Rare earths,7.166695277255996,0.2543043909667494
2100,Germany,Copper,3.8379984826046556,0.1361882749148763
2100,Italy,Lithium,3.633103097795233,0.13086886787248336
2100,Italy,Nickel,2.415129031027839,0.08699593530620883
2100,Italy,Cobalt,2.7547548410748277,0.09922967711444353
2100,Italy,Graphite,8.110595790483199,0.29215369349578774
2100,Italy,Rare earths,7.068796012055455,0.2546267767299572
2100,Italy,Copper,3.779022062292708,0.13612504948111934
2100,Netherlands,Lithium,3.782674577538438,0.13105728166514605
