seed,resource,marginal_benefit_pp
2037,Copper,0.17525846605180284
2038,Lithium,0.03668257480808457
2038,Nickel,0.010275492592175084
2038,Cobalt,0.009552425873604165
2038,Graphite,0.7219332676098773
2038,Rare earths,0.8090894650914686
2038,Copper,0.22056673453896813
2039,Lithium,0.07694662912221517
2039,Nickel,0.02239858730421851
2039,Cobalt,0.014670600903247788
2039,Graphite,0.6220859865450219
2039,Rare earths,0.9875824968818812
2039,Copper,0.2607510794055887
2040,Lithium,0.035580535580180594
2040,Nickel,0.0365133120581973
2040,Cobalt,0.0015604582942057021
2040,Graphite,0.7085608754481818
2040,Rare earths,0.8843297303382247
2040,Copper,0.24604786013401636
2041,Lithium,0.03806077233688754
2041,Nickel,0.06656903545442461
2041,Cobalt,0.002432390218659819
2041,Graphite,0.6003420363514422
2041,Rare earths,0.8026407241757312
2041,Copper,0.14990326062763693
2042,Lithium,0.04687647290235297
2042,Nickel,0.005976063342778559
2042,Cobalt,0.0011598913152006673
2042,Graphite,0.7613222467646086
2042,Rare earths,0.9197950738496239
2042,Copper,0.2537282568526962
2043,Lithium,0.03420450490993154
2043,Nickel,0.02334303310968977
2043,Cobalt,0.007245610444215345
2043,Graphite,0.5762244941498595
2043,Rare earths,0.6570215942157178
2043,Copper,0.10191848917187674
2044,Lithium,0.012596717735047669
2044,Nickel,0.15740241674031719
2044,Cobalt,0.020719620471382427
2044,Graphite,0.08411096197886803
2044,Rare earths,0.0797433640579639
2044,Copper,0.657565985181285
2045,Lithium,0.043949278431171024
2045,Nickel,0.041192478862647874
2045,Cobalt,0.0037918264066902907
2045,Graphite,0.7902710510757274
2045,Rare earths,0.8353793273153904
2045,Copper,0.3009023870579739
2046,Lithium,0.04161914813008494
2046,Nickel,0.016625112689741428
2046,Cobalt,0.002443555206610881
2046,Graphite,0.6314816571335795
2046,Rare earths,0.7496610827622998
2046,Copper,0.19801305816178782
2047,Lithium,0.04064692487987287
2047,Nickel,0.012683477939548382
2047,Cobalt,0.003376904761445587
2047,Graphite,0.6691399412745564
2047,Rare earths,0.9675739819483304
2047,Copper,0.1629431322762862
2048,Lithium,0.019875984496019683
2048,Nickel,0.03711148219298632
2048,Cobalt,0.007353441067327715
2048,Graphite,0.6230175693517763
2048,Rare earths,0.8211379379004002
2048,Copper,0.15061914021517886
2049,Lithium,0.014015426855412016
2049,Nickel,0.008509823986205589
2049,Cobalt,0.004657618315279777
2049,Graphite,0.725573488817151
2049,Rare earths,1.0533790568107477
2049,Copper,0.15124054064428805
2050,Lithium,0.033177273676118446
2050,Nickel,0.011569645551237073
2050,Cobalt,0.004061124249144399
2050,Graphite,0.7695817268669582
2050,Rare earths,1.0294290718223813
2050,Copper,0.17292452285461124
2051,Lithium,0.05394287677859744
2051,Nickel,0.02089992482416747
2051,Cobalt,0.00758284932034492
2051,Graphite,0.7694202224132134
2051,Rare earths,0.807567189992195
2051,Copper,0.24440484392945194
2052,Lithium,0.03337356238692912
2052,Nickel,0.027233720349093105
2052,Cobalt,0.007641378296453283
2052,Graphite,0.6241951025848129
2052,Rare earths,0.9701622991357217
2052,Copper,0.1719322896724691
2053,Lithium,0.040677139119774
2053,Nickel,0.02161691014925715
2053,Cobalt,0.0028472078522980837
2053,Graphite,0.8588578947939807
2053,Rare earths,0.8368097751768104
2053,Copper,0.12386652278823362
2054,Lithium,0.026615612813357004
2054,Nickel,0.02056778559374539
2054,Cobalt,0.003031662298835336
2054,Graphite,0.64871553573591
2054,Rare earths,0.867831289645399
2054,Copper,0.132667721453279
2055,Lithium,0.04449345045507691
2055,Nickel,0.02147069778482802
2055,Cobalt,0.005481456839616428
2055,Graphite,0.7749920231947236
2055,Rare earths,0.8893993010170558
2055,Copper,0.21915995174118663
2056,Lithium,0.026753976123480072
2056,Nickel,0.022678771429845312
2056,Cobalt,0.0013679140643336751
2056,Graphite,0.6260102893278496
2056,Rare earths,1.0274722941805425
2056,Copper,0.24906605285537253
2057,Lithium,0.05252974442787739
2057,Nickel,0.014869966994369932
2057,Cobalt,0.004022829733305144
2057,Graphite,0.8667742057376593
2057,Rare earths,0.8305084675895866
2057,Copper,0.1725848220312134
2058,Lithium,0.0533016654591556
2058,Nickel,0.029110496883658854
2058,Cobalt,0.003033501571486852
2058,Graphite,0.7465817418056542
2058,Rare earths,0.8511855725025601
2058,Copper,0.1609041321934015
2059,Lithium,0.043242532222206975
2059,Nickel,0.01996806213739788
2059,Cobalt,0.001211096534751377
2059,Graphite,0.6933539515363822
2059,Rare earths,0.8434078504541151
2059,Copper,0.2154418882553486
2060,Lithium,0.06796694834803141
2060,Nickel,0.02437403649533465
2060,Cobalt,0.003789897456970337
2060,Graphite,0.5638329738817163
2060,Rare earths,1.0060802270669917
2060,Copper,0.23601342969206662
2061,Lithium,0.03242574156060307
2061,Nickel,0.03404912481733646
2061,Cobalt,0.005911149197741494
2061,Graphite,0.6249790825994701
2061,Rare earths,0.8788694401106856
2061,Copper,0.20839533572208602
2062,Lithium,0.029687204285192337
2062,Nickel,0.021516509324326805
2062,Cobalt,0.0035269250047686995
2062,Graphite,0.8325394435918394
2062,Rare earths,0.8309537610048014
2062,Copper,0.16084978488016333
2063,Lithium,0.06681435721467466
2063,Nickel,0.0113134282666838
2063,Cobalt,0.012768102408607263
2063,Graphite,0.7254122397883016
2063,Rare earths,0.8750239234061619
2063,Copper,0.19714467340788566
2064,Lithium,0.03846637918582907
2064,Nickel,0.015318177866982197
2064,Cobalt,0.006616788642277882
2064,Graphite,0.6580693982593644
2064,Rare earths,0.8681561412243566
2064,Copper,0.1865515210212223
2065,Lithium,0.036288788094310576
2065,Nickel,0.01672309779080905
2065,Cobalt,0.005156820678299923
2065,Graphite,0.9252257284419283
2065,Rare earths,0.8652655335083903
2065,Copper,0.1468414049382165
2066,Lithium,0.030178671044633454
2066,Nickel,0.00892085833855738
2066,Cobalt,0.003756017858435712
2066,Graphite,0.6576754289239943
2066,Rare earths,0.9102059292699245
2066,Copper,0.13760783566751034
2067,Lithium,0.06414362504433324
2067,Nickel,0.007809754567397853
2067,Cobalt,0.00545431638041638
2067,Graphite,0.5003824148781373
2067,Rare earths,0.7720191008979853
2067,Copper,0.1162494097582929
2068,Lithium,0.071450448367127
2068,Nickel,0.006306173812680171
2068,Cobalt,0.011256735088702285
2068,Graphite,0.6757667790934505
2068,Rare earths,1.0418047450106975
2068,Copper,0.11662985678790427
2069,Lithium,0.034672077284483294
2069,Nickel,0.019046159145265307
2069,Cobalt,0.0057599570817057355
2069,Graphite,0.5574874672548722
2069,Rare earths,1.0773889032489157
2069,Copper,0.12841369346415732
2070,Lithium,0.057103292847111575
2070,Nickel,0.025860167254922573
2070,Cobalt,0.008033318965448899
2070,Graphite,0.6049148388363079
2070,Rare earths,0.9349442386111972
2070,Copper,0.21204805314157582
2071,Lithium,0.04555168148785427
2071,Nickel,0.015771627212597394
2071,Cobalt,0.0012750063368596187
2071,Graphite,0.794918246093701
2071,Rare earths,0.9149752092776282
2071,Copper,0.2581960935451768
2072,Lithium,0.04120846364367914
2072,Nickel,0.009001357310262748
2072,Cobalt,0.0011043882381329695
2072,Graphite,0.6139957260349806
2072,Rare earths,0.8903750928008227
2072,Copper,0.22730745871471747
2073,Lithium,0.035873390848975006
2073,Nickel,0.020598244578764024
2073,Cobalt,0.00517980533241591
2073,Graphite,0.6468712320395973
2073,Rare earths,0.9869796434927691
2073,Copper,0.20382286637075886
2074,Lithium,0.06120411956625027
2074,Nickel,0.016020722832429612
2074,Cobalt,0.0017522549492543504
2074,Graphite,0.6554620418369712
2074,Rare earths,0.7556165855442778
2074,Copper,0.27261395299453817
2075,Lithium,0.04714852198152375
2075,Nickel,0.013366020242651544
2075,Cobalt,0.00763879467211126
2075,Graphite,0.5943900889484137
2075,Rare earths,0.8756406403610084
2075,Copper,0.1115208754338628
2076,Lithium,0.0477316263483587
2076,Nickel,0.0412665278297224
2076,Cobalt,0.00139126571942505
2076,Graphite,0.7112810292747396
2076,Rare earths,0.7246144314488232
2076,Copper,0.11114445372137727
2077,Lithium,0.023494035708589323
2077,Nickel,0.041126608142509014
2077,Cobalt,0.009164478797725195
2077,Graphite,0.8142832888029918
2077,Rare earths,0.819422912015547
2077,Copper,0.21222844859634193
2078,Lithium,0.04808062331444951
2078,Nickel,0.017811617054533713
2078,Cobalt,0.00307250092225253
2078,Graphite,0.6449208631447991
2078,Rare earths,1.0839743148910461
2078,Copper,0.09820329010860007
2079,Lithium,0.04038274012240084
2079,Nickel,0.0149264060399803
2079,Cobalt,0.01688980442224608
2079,Graphite,0.5810038039343342
2079,Rare earths,0.6573112134606323
2079,Copper,0.20520628047610945
2080,Lithium,0.03193466858018201
2080,Nickel,0.019110594582805618
2080,Cobalt,0.005284435475737759
2080,Graphite,0.5265812991764403
2080,Rare earths,0.5768956642677736
2080,Copper,0.17336638877492394
2081,Lithium,0.05388433538470849
2081,Nickel,0.027149766505958794
2081,Cobalt,0.007020962086462745
2081,Graphite,0.7085806607785461
2081,Rare earths,1.040703936673948
2081,Copper,0.18461624266837084
2082,Lithium,0.038388562611020305
2082,Nickel,0.023796728104979792
2082,Cobalt,0.0063287921827033244
2082,Graphite,0.6865070740601524
2082,Rare earths,0.8837929922133849
2082,Copper,0.28683760776454825
2083,Lithium,0.035140808237453136
2083,Nickel,0.016523060877622342
2083,Cobalt,0.004028456249987933
2083,Graphite,0.6708979508789694
2083,Rare earths,0.8453815483841325
2083,Copper,0.10931004180380732
2084,Lithium,0.02908509851246066
2084,Nickel,0.0278312135818215
2084,Cobalt,0.007448519967699241
2084,Graphite,0.6345366358441744
2084,Rare earths,0.9656345040070811
