seed,resource_scaled,epsilon,mean_chi,mean_worstcase_loss_pct
2042,Graphite,-0.2,0.037121628744812105,8.366703309724315
2043,Graphite,-0.2,0.04431441528891072,8.396412135686816
2044,Graphite,-0.2,0.04878478320947532,9.768840921886644
2045,Graphite,-0.2,0.0456390081631928,8.708528785288618
2046,Graphite,-0.2,0.04345719441201314,8.022806758754943
2047,Graphite,-0.2,0.04460507877040787,8.721849883603138
2048,Graphite,-0.2,0.04127878680842521,9.242714083005344
2049,Graphite,-0.2,0.048761653128504674,8.628639961843954
2050,Graphite,-0.2,0.045568337289114406,9.471811707727122
2051,Graphite,-0.2,0.03997678984807596,6.889789828456112
2052,Graphite,-0.2,0.03548620590718227,6.730435887409646
2053,Graphite,-0.2,0.041203099980286005,7.704912104711153
2054,Graphite,-0.2,0.049151278582407455,9.159672405276464
2055,Graphite,-0.2,0.04121190839483208,8.662474268452325
2056,Graphite,-0.2,0.04453707246633937,8.82349110085992
2057,Graphite,-0.2,0.04230728906111194,8.878915002060015
2058,Graphite,-0.2,0.042099134549593,8.348790642646387
2059,Graphite,-0.2,0.04138533769532599,7.930033907545818
2060,Graphite,-0.2,0.04281129835788609,9.086639369223045
2061,Graphite,-0.2,0.04218614835993497,7.782121448904138
2062,Graphite,-0.2,0.04281755366580936,8.130851698452444
2063,Graphite,-0.2,0.03953725503532239,7.813860767276118
2064,Graphite,-0.2,0.045576339785361686,7.434343383000993
2065,Graphite,-0.2,0.04862035521738252,9.318899996982664
2066,Graphite,-0.2,0.03781620938959991,7.19028852083498
2067,Graphite,-0.2,0.04280505771971371,7.826341909634995
2068,Graphite,-0.2,0.04562167183178057,8.157890126552825
2069,Graphite,-0.2,0.04378385826543485,8.80715421419374
2070,Graphite,-0.2,0.04172760876054004,7.25727001173685
2071,Graphite,-0.2,0.0390400357098644,7.620103208434282
2072,Graphite,-0.2,0.0378677459293696,8.225925443533303
2073,Graphite,-0.2,0.05058083888497017,9.058290282497472
2074,Graphite,-0.2,0.03892343716061901,7.78894139932967
2075,Graphite,-0.2,0.04304170790795131,8.859951174401271
2076,Graphite,-0.2,0.041113743396447064,8.141376951892315
2027,Rare earths,-0.2,0.04369548229165172,8.228007859607308
2028,Rare earths,-0.2,0.04409090732566166,8.4725980238014
2029,Rare earths,-0.2,0.040578652993649114,8.611495505486596
2030,Rare earths,-0.2,0.04893229524511295,8.393044788110931
2031,Rare earths,-0.2,0.045047982500779696,8.971681682363329
2032,Rare earths,-0.2,0.04012419392454337,7.43437706889209
2033,Rare earths,-0.2,0.03551784568024326,7.127102565975791
2034,Rare earths,-0.2,0.04134590283872904,6.995387142049256
2035,Rare earths,-0.2,0.049449581764279646,9.15729293612917
2036,Rare earths,-0.2,0.041638771439013414,8.461580667118046
2037,Rare earths,-0.2,0.04398051255805,9.008006140246033
2038,Rare earths,-0.2,0.04217859730919897,8.740727214793083
2039,Rare earths,-0.2,0.042134665940760055,8.796630772056663
2040,Rare earths,-0.2,0.041311306643633014,8.46852493887295
2041,Rare earths,-0.2,0.04280166863787633,8.703324942917904
2042,Rare earths,-0.2,0.04237566375956501,8.472289682867665
2043,Rare earths,-0.2,0.04239804253932688,8.071258315816232
2044,Rare earths,-0.2,0.039552828645515514,8.021943299479663
2045,Rare earths,-0.2,0.04594953949355823,7.937156161577732
2046,Rare earths,-0.2,0.04841625163676662,8.796503376943367
2047,Rare earths,-0.2,0.037792656721260955,7.701445579718738
2048,Rare earths,-0.2,0.04318202119268625,8.330068539101939
2049,Rare earths,-0.2,0.04535284800139572,8.310790803451678
2050,Rare earths,-0.2,0.04292113480109865,8.772632290963552
2051,Rare earths,-0.2,0.04175898010648334,7.034817000665322
2052,Rare earths,-0.2,0.03889118950128602,7.067036703659167
2053,Rare earths,-0.2,0.03747396431394774,8.193987182321218
2054,Rare earths,-0.2,0.05058056731410663,9.07386206652598
2055,Rare earths,-0.2,0.038664002886626726,8.067709486418869
