seed,resource_scaled,epsilon,mean_chi,mean_worstcase_loss_pct
2074,Cobalt,-0.2,0.04365196412666569,8.554325639455286
2075,Cobalt,-0.2,0.0482146768106186,8.632269691236209
2076,Cobalt,-0.2,0.04669418366878186,8.684901187241167
2027,Graphite,-0.2,0.04008372278886676,8.302496521762915
2028,Graphite,-0.2,0.041320056936092496,6.931629631119426
2029,Graphite,-0.2,0.04407059762273619,8.086614675790674
2030,Graphite,-0.2,0.04767440334962533,7.829123409284211
2031,Graphite,-0.2,0.04358452783214787,7.966174899678761
2032,Graphite,-0.2,0.042090241202253624,8.099248167797118
2033,Graphite,-0.2,0.039551264548972204,7.747030453186209
2034,Graphite,-0.2,0.04376738183818381,7.678748383177757
2035,Graphite,-0.2,0.04656492498956534,9.1133072360156
2036,Graphite,-0.2,0.04492779127504963,8.269359921293049
2037,Graphite,-0.2,0.04319912366374297,9.101628586064182
2038,Graphite,-0.2,0.04153603228386071,6.996250627671984
2039,Graphite,-0.2,0.042164672396116536,7.874745485655972
2040,Graphite,-0.2,0.04536614839834693,8.181886989554233
2041,Graphite,-0.2,0.05214248818178327,9.072365849362098
2042,Graphite,-0.2,0.03777908789213982,8.189631016247183
2043,Graphite,-0.2,0.04325401128333835,7.877837691565998
2044,Graphite,-0.2,0.05115395759783382,9.32220314915086
2045,Graphite,-0.2,0.0468092789676492,8.186337533399978
2046,Graphite,-0.2,0.04624692628183649,7.979558826705887
2047,Graphite,-0.2,0.04723318217497732,8.269166151240693
2048,Graphite,-0.2,0.044885861583055145,9.09049249727492
2049,Graphite,-0.2,0.04919222126055986,8.494205043292478
2050,Graphite,-0.2,0.048256158035030854,9.06571720764368
2051,Graphite,-0.2,0.040362094585466295,6.861294911242556
2052,Graphite,-0.2,0.035722769414392105,6.835668445251591
2053,Graphite,-0.2,0.04085352118561154,7.427730518339818
2054,Graphite,-0.2,0.04853715165474588,8.980151012062478
2055,Graphite,-0.2,0.041934261784770686,8.692328000145194
2056,Graphite,-0.2,0.046980270255213785,8.499614886357552
2057,Graphite,-0.2,0.045303840919313276,8.588691764956291
2058,Graphite,-0.2,0.04255310540610838,8.314551664953951
2059,Graphite,-0.2,0.043691010983617405,8.0305734314
2060,Graphite,-0.2,0.0421293991830748,8.926351500147376
2061,Graphite,-0.2,0.041699008364802885,7.759462460243941
