seed,economy,K0,HHI,chi,upstream_alignment,upstream_concentration,supplier_entropy,macro_sensitivity,gamma,worstcase_loss_pct
2063,France,1.0,0.21065996896004519,0.03878164428549742,0.8805619394131442,0.19466474991407834,2.0271048395091187,0.9029144573019572,0.19693055701311926,7.260264656164845
2063,Germany,1.0,0.2203295886557403,0.0404494474216157,0.8759307872232093,0.19413758818644927,2.033465002846619,0.9852731291916909,0.2011204798662128,7.949941984569707
2063,Italy,1.0,0.25048887607232506,0.04654728425465762,0.8957537072898808,0.1940679459180016,2.018674158029723,1.1366472011231061,0.21574819641113485,9.313719117822558
2063,Netherlands,1.0,0.24834448560035266,0.04972066522859826,0.8656533494160555,0.20113832344894578,1.9964317596682863,1.0368082448825713,0.2229813113886414,8.34571799667601
2063,Spain,1.0,0.24799615567938477,0.047522939134105976,0.8999869391737879,0.1975029106738177,2.00217250943351,1.2902317807946069,0.21799756680776503,10.824658990299985
2063,Sweden,1.0,0.24544977234940243,0.04451357439176704,0.8604186649039203,0.1937580979159491,2.0447175480581885,0.9463017643408983,0.21098240303818477,7.68493648394404
2063,Denmark,1.0,0.2688982876844479,0.053329187466086614,0.8711500370245436,0.1992256836287501,2.0097124089235123,0.8882997010549157,0.23093113143551394,7.417866986418913
2063,Finland,1.0,0.22949464529857047,0.043053744474069414,0.8545023268428327,0.1967494769161553,2.0279351324340644,0.9941200687725811,0.20749396250028437,7.80890964010994
2064,France,1.0,0.2237263064028027,0.04225853988083353,0.8473131474308625,0.2004228189038082,2.0129477492386805,0.8253742663360654,0.20556882030316156,6.824305401663529
2064,Germany,1.0,0.25628055943624695,0.04512982075801092,0.8311724040758035,0.19582760991629544,2.0375879965798545,1.1289318235615524,0.2124378044464095,9.285458356366307
2064,Italy,1.0,0.2620245593454621,0.045000313228358804,0.8525754071483749,0.1906057168646091,2.033787497693289,0.93419623999592,0.21213277264100142,7.305848863786461
2064,Netherlands,1.0,0.2451665778320967,0.050642492671384334,0.8303890764540093,0.20762188948062354,1.9971612660716391,1.0432956707537504,0.22503886924570238,8.814835710251815
2064,Spain,1.0,0.3273501911277767,0.062380339506119376,0.8723374199869964,0.1988254579881824,1.9891791081477086,1.1060405580156119,0.249760564353381,9.026553470008908
2064,Sweden,1.0,0.24058458918058143,0.04007241849863645,0.8104845958440161,0.19307676174784316,2.0599960821168612,0.9378438599683058,0.20018096437632737,7.451486305708398
