seed,resource,marginal_benefit_pp
2063,Nickel,0.010966339927069413
2063,Cobalt,0.013072714207909897
2063,Graphite,0.6420650460007078
2063,Rare earths,0.8794038520889513
2063,Copper,0.18484166293343485
2064,Lithium,0.04100216451931615
2064,Nickel,0.015376025821018935
2064,Cobalt,0.007133668472289578
2064,Graphite,0.6041411554745046
2064,Rare earths,0.8746170105345987
2064,Copper,0.17206064703677448
2065,Lithium,0.04000740410428705
2065,Nickel,0.01575248734118695
2065,Cobalt,0.005383191006147925
2065,Graphite,0.8585872844222546
2065,Rare earths,0.8452586367610371
2065,Copper,0.13330875936916797
2066,Lithium,0.031128726053655242
2066,Nickel,0.009060687700475967
2066,Cobalt,0.003941310100705309
2066,Graphite,0.6241367779123372
2066,Rare earths,0.9520888715058309
2066,Copper,0.13330213503615607
2067,Lithium,0.07689407210111199
2067,Nickel,0.008329277343582575
2067,Cobalt,0.00647538050334262
2067,Graphite,0.5071782791635187
2067,Rare earths,0.8029740756885211
2067,Copper,0.1099574138107231
2068,Lithium,0.07101548424079418
2068,Nickel,0.005518598680636089
2068,Cobalt,0.010697894052418278
2068,Graphite,0.6290005751027774
2068,Rare earths,1.036168859087054
2068,Copper,0.1116970664104695
2069,Lithium,0.03616002703000554
2069,Nickel,0.018785667363268033
2069,Cobalt,0.006001299967387297
2069,Graphite,0.5135412677253557
2069,Rare earths,1.0801440228345172
2069,Copper,0.11922635222088829
2070,Lithium,0.05781303829105511
2070,Nickel,0.024437270866854988
2070,Cobalt,0.008069020445736541
2070,Graphite,0.5486479815294159
2070,Rare earths,0.9709698991039941
2070,Copper,0.20023327520688383
2071,Lithium,0.05015820018073214
2071,Nickel,0.015339672214349065
2071,Cobalt,0.0013493236347983384
2071,Graphite,0.7217419763230151
2071,Rare earths,0.8866358320298815
2071,Copper,0.23649487279423909
2072,Lithium,0.04548703547027344
2072,Nickel,0.009254885151678494
2072,Cobalt,0.0012332926238087794
2072,Graphite,0.5767354138662064
2072,Rare earths,0.8953879267150464
2072,Copper,0.21502692025118808
2073,Lithium,0.03876842064073571
2073,Nickel,0.02120090668575969
2073,Cobalt,0.005668901581504571
2073,Graphite,0.6028777176681164
2073,Rare earths,0.9885651053571856
2073,Copper,0.1878083550127574
2074,Lithium,0.06389710957535044
2074,Nickel,0.01501344403335203
2074,Cobalt,0.0017808798228724498
