seed,economy,resource,resource_channel_loss_pct,contribution_share
2071,Germany,Lithium,2.888047690887004,0.12593363350348347
2071,Germany,Nickel,2.544773542784149,0.11096512696018317
2071,Germany,Cobalt,1.6524286619059583,0.07205433142802573
2071,Germany,Graphite,6.509049498661383,0.2838278109488902
2071,Germany,Rare earths,5.875319935710229,0.25619396446746245
2071,Germany,Copper,3.463473367699176,0.1510251326919549
2071,Italy,Lithium,2.9399567174206767,0.12058630240034336
2071,Italy,Nickel,2.3817196920229136,0.09768945553290335
2071,Italy,Cobalt,1.5058247665684985,0.06176344011712638
2071,Italy,Graphite,7.217506804655068,0.29603580657005185
2071,Italy,Rare earths,6.460215319156418,0.2649744717094275
2071,Italy,Copper,3.8752963686550013,0.15895052367014753
2071,Netherlands,Lithium,3.444426035816247,0.11692287085624614
2071,Netherlands,Nickel,2.5808920969784817,0.08760975274576048
2071,Netherlands,Cobalt,1.6773975620692345,0.05694015098162095
2071,Netherlands,Graphite,8.906387619009461,0.302332057226578
2071,Netherlands,Rare earths,8.134193406654505,0.27611951463507384
2071,Netherlands,Copper,4.715662083614726,0.16007565355472061
2071,Spain,Lithium,3.8849391301180387,0.11722437977307129
2071,Spain,Nickel,3.020694477342175,0.09114661124165911
2071,Spain,Cobalt,1.856956030023967,0.056031899495632594
2071,Spain,Graphite,10.024473737306167,0.30247905489614535
2071,Spain,Rare earths,9.014046214234165,0.27199035591512494
2071,Spain,Copper,5.339941254142195,0.16112769867836665
2071,Sweden,Lithium,2.8311121356614892,0.12469919507023536
2071,Sweden,Nickel,2.0914994860017453,0.09212220848090526
2071,Sweden,Cobalt,1.432571484780133,0.06309905877003179
2071,Sweden,Graphite,6.718672091702241,0.29593070201027877
2071,Sweden,Rare earths,6.105213088677449,0.2689102802748794
2071,Sweden,Copper,3.524463472679467,0.1552385553936695
2071,Denmark,Lithium,3.002430240332186,0.12780707163183394
2071,Denmark,Nickel,2.4951297696441475,0.10621236920540363
2071,Denmark,Cobalt,1.6626153877481462,0.07077400204129523
2071,Denmark,Graphite,6.716929371736037,0.2859254019718562
2071,Denmark,Rare earths,6.102692772434816,0.25977865591553495
2071,Denmark,Copper,3.5120969362216856,0.14950249923407607
2071,Finland,Lithium,2.7443960289441476,0.12362940374567878
2071,Finland,Nickel,2.092345216621809,0.0942558540505532
2071,Finland,Cobalt,1.4117879652000622,0.0635981478300561
2071,Finland,Graphite,6.5492621262297845,0.2950308057221077
2071,Finland,Rare earths,5.944558089632539,0.26779013101675747
2071,Finland,Copper,3.4562210250233942,0.15569565763484675
2072,France,Lithium,2.5786964558578047,0.1234609939075217
2072,France,Nickel,2.3528535651069427,0.11264824869444696
2072,France,Cobalt,1.7674229339882581,0.08461941753146418
2072,France,Graphite,5.81510405479045,0.27841141389449264
2072,France,Rare earths,5.071706465972493,0.2428195531404167
2072,France,Copper,3.300946609977139,0.15804037283165778
2072,Germany,Lithium,3.0400813359059597,0.1264351654212619
2072,Germany,Nickel,2.7024952030908342,0.11239515996407738
2072,Germany,Cobalt,2.0800846311250774,0.08650947634864829
2072,Germany,Graphite,6.696874260577828,0.278518997153483
2072,Germany,Rare earths,5.876489069659989,0.24439966748366027
2072,Germany,Copper,3.6485625081429793,0.15174153362886922
2072,Italy,Lithium,3.089294612726032,0.12481168246703678
2072,Italy,Nickel,2.6395336352346677,0.10664073040650097
2072,Italy,Cobalt,1.9675116369851955,0.07949013236678755
2072,Italy,Graphite,6.987627156858168,0.28230959206905804
2072,Italy,Rare earths,6.067337921456253,0.24512866171892236
2072,Italy,Copper,4.0003412902218125,0.1616192009716943
2072,Netherlands,Lithium,3.5552709256843773,0.12425076594342038
2072,Netherlands,Nickel,3.0376300937406784,0.1061600855994989
2072,Netherlands,Cobalt,2.341639834612794,0.08183639140194553
2072,Netherlands,Graphite,8.099561397284845,0.28306610901240337
2072,Netherlands,Rare earths,7.109965847924731,0.24848140153092643
2072,Netherlands,Copper,4.469606019295458,0.15620524651180545
2072,Spain,Lithium,3.614193791737872,0.12234348599663597
2072,Spain,Nickel,3.003630276642823,0.10167539978890403
2072,Spain,Cobalt,2.1409795978495145,0.07247395201866996
2072,Spain,Graphite,8.499298746392448,0.28770837898553575
2072,Spain,Rare earths,7.365463916049923,0.24932712062423268
2072,Spain,Copper,4.917800441252955,0.1664716625860216
2072,Sweden,Lithium,3.1463424309706975,0.12698130646346467
2072,Sweden,Nickel,2.7277732431391204,0.11008852906167144
2072,Sweden,Cobalt,2.1725083431500094,0.08767893316394539
2072,Sweden,Graphite,6.891130288217255,0.27811490522912136
2072,Sweden,Rare earths,6.04565333802144,0.24399281900486763
2072,Sweden,Copper,3.7945893593592928,0.15314350707692945
2072,Denmark,Lithium,3.050651523430064,0.1273203037787851
2072,Denmark,Nickel,2.6136756411524895,0.10908292017456797
2072,Denmark,Cobalt,2.0695013325974956,0.08637156237388062
2072,Denmark,Graphite,6.71801878179038,0.2803795141856829
2072,Denmark,Rare earths,5.924698593507375,0.24726994182375442
2072,Denmark,Copper,3.58390216988999,0.14957575766332898
2072,Finland,Lithium,2.9747976229391107,0.12336620966355435
2072,Finland,Nickel,2.764569943235947,0.11464797222402084
2072,Finland,Cobalt,2.164627077203212,0.08976806885633452
2072,Finland,Graphite,6.643541353926355,0.2755106798718012
2072,Finland,Rare earths,5.825692745076014,0.2415941262970431
2072,Finland,Copper,3.7403241587906835,0.15511294308724602
2073,France,Lithium,3.169574008184179,0.13195523842640364
2073,France,Nickel,1.9870263496491953,0.0827235884224446
2073,France,Cobalt,2.2695041084776197,0.09448366088647742
2073,France,Graphite,6.587220287652693,0.2742381851252061
2073,France,Rare earths,6.500348256253926,0.27062154150489276
2073,France,Copper,3.5063965677852984,0.14597778563457556
2073,Germany,Lithium,3.022047663171527,0.13179866125843845
2073,Germany,Nickel,1.8773994097046587,0.08187783795136402
2073,Germany,Cobalt,2.1108309093288904,0.09205833891465316
2073,Germany,Graphite,6.355101825781213,0.27716105308544275
2073,Germany,Rare earths,6.300342486660245,0.2747728685192317
2073,Germany,Copper,3.263552056977727,0.14233124027086988
2073,Italy,Lithium,3.2617438421842575,0.1332686928959124
2073,Italy,Nickel,2.04283401597675,0.08346633956706329
2073,Italy,Cobalt,2.3608832556396906,0.09646123079617791
2073,Italy,Graphite,6.596314135647192,0.2695129370428567
2073,Italy,Rare earths,6.4773851867111,0.2646537248118975
2073,Italy,Copper,3.7357839135375754,0.15263707488609227
2073,Netherlands,Lithium,4.170960061919916,0.1314890103745256
2073,Netherlands,Nickel,2.4470653270450495,0.07714343781725386
2073,Netherlands,Cobalt,2.834624478766089,0.08936119309778105
2073,Netherlands,Graphite,8.991390264855577,0.283452488219894
2073,Netherlands,Rare earths,8.949457560271833,0.2821305647907097
2073,Netherlands,Copper,4.327480737503117,0.13642330569983585
2073,Spain,Lithium,3.6224546068520205,0.13184440298691866
2073,Spain,Nickel,2.105580556858661,0.07663560805835501
2073,Spain,Cobalt,2.488682886466152,0.09057916385459765
2073,Spain,Graphite,7.568572364684733,0.2754689880716878
2073,Spain,Rare earths,7.449506914468411,0.2711354311596299
